Date,Close/Last,Volume,Open,High,Low
02/28/2022,58.96,6438344,58.32,59.18,58.01
02/25/2022,59.65,5445243,58.42,60.145,58.32
02/24/2022,58.72,8108464,58.89,58.97,57.52
02/23/2022,59.97,5155144,60.87,61.19,59.875
02/22/2022,60.3,5663976,60.92,61.04,59.94
02/18/2022,60.59,5078896,60.75,61.32,60.19
02/17/2022,61.17,3927767,61.36,62.105,60.625
02/16/2022,62.08,5613614,61.65,62.91,61.62
02/15/2022,61.86,4076888,60.82,62.01,60.71
02/14/2022,60.83,4471998,61.1,61.37,60.125
02/11/2022,61.09,6042091,60.8,61.91,60.35
02/10/2022,60.95,6537194,61.89,62.46,60.71
02/09/2022,61.99,5515879,61.49,62.23,61.25
02/08/2022,61.09,5595518,60.38,61.17,60.38
02/07/2022,59.91,6214368,60.93,61.1,59.73
02/04/2022,60.6,4995139,61.2,61.72,60.54
02/03/2022,61.21,5363825,61.5,62.445,61.155
02/02/2022,61.66,5463397,61.71,62.49,61.12
02/01/2022,61.81,6659399,59.8,61.99,59.7
01/31/2022,59.73,8056096,59.5,60.05,58.28
01/28/2022,60.04,6971881,60.71,61.1,59.07
01/27/2022,60.18,11666350,58.74,61.29,58.74
01/26/2022,57.22,6126011,57.43,58.25,56.65
01/25/2022,57.18,5644149,55.89,57.46,54.6393
01/24/2022,56.62,8873378,55.7,56.82,54.6
01/21/2022,56.72,6189453,57.68,57.77,56.54
01/20/2022,57.81,5765667,59.9,60.05,57.77
01/19/2022,59.84,4351087,60.76,60.92,59.39
01/18/2022,60.2,4799580,60.76,61.1486,59.57
01/14/2022,60.74,6795305,59.71,60.83,59.29
01/13/2022,59.94,4482598,59.3,60.2266,59.2074
01/12/2022,59.26,3742360,59.515,60.14,58.89
01/11/2022,59.18,5720389,59.05,59.47,58.41
01/10/2022,58.4,5544298,58.84,59.3,57.985
01/07/2022,59.1,4633224,58.63,59.515,58.43
01/06/2022,58.24,5820763,58.49,58.86,57.24
01/05/2022,58.35,6706303,58.79,59.59,58.315
01/04/2022,58.41,9067952,57.25,58.7,57.1
01/03/2022,56.87,5235781,57.2,57.9,56.79
12/31/2021,56.72,3093869,56.84,56.9905,56.295
12/30/2021,56.78,3678731,57.2,57.83,56.725
12/29/2021,57.06,3580902,56.67,57.11,56.56
12/28/2021,56.63,4749871,56.01,57,55.91
12/27/2021,55.87,3249034,55.31,55.89,55.17
12/23/2021,55.14,6240414,54.5,55.7032,54.35
12/22/2021,54.23,3729561,54.12,54.38,53.64
12/21/2021,54.2,4421997,54.17,54.81,53.9
12/20/2021,53.51,6250974,53.1,53.59,52.47
12/17/2021,54.1,10400000,54.53,54.665,53.38
12/16/2021,54.6,5605880,54.43,55.36,54.27
12/15/2021,54.04,4955167,53.79,54.07,52.8597
12/14/2021,53.88,4048860,53.25,54.5,53.1377
12/13/2021,53.32,5398761,54.46,54.65,53.0671
12/10/2021,54.68,3628582,55.15,55.26,54.285
12/09/2021,54.39,5607722,54.24,54.58,53.725
12/08/2021,54.91,5013675,55.31,55.48,54.78
12/07/2021,54.86,5806937,54.45,55.38,54.27
12/06/2021,53.88,6066355,54.36,54.7184,53.84
12/03/2021,53.07,6969330,53,53.8199,52.73
12/02/2021,53.18,7333262,52.5,53.475,52.07
12/01/2021,52.76,9123937,55.49,55.8,52.7
11/30/2021,54.93,10398190,56.26,56.49,54.41
11/29/2021,56.86,4564444,57.9,58.38,56.38
11/26/2021,57.6,4317492,56.64,57.77,55.98
11/24/2021,58.63,3307108,58.9,59.37,58.59
11/23/2021,59.18,5280023,59.34,59.72,58.83
11/22/2021,58.79,5310320,57.56,59.29,57.41
11/19/2021,57.34,7425308,57.45,57.52,56.03
11/18/2021,57.98,3801860,58.35,58.37,57.67
11/17/2021,58.34,3342386,58.68,58.98,58.17
11/16/2021,58.86,4004669,59.97,59.99,58.84
11/15/2021,59.92,3470443,60.5,60.82,59.78
11/12/2021,60.06,3499439,59.79,60.55,59.46
11/11/2021,59.68,4140414,59.08,59.98,59.02
11/10/2021,58.76,5104029,58.84,59.29,58.49
11/09/2021,58.79,4447809,58.54,59.12,58.395
11/08/2021,58.57,4894141,58.93,59.68,58.295
11/05/2021,58.31,4979097,57.24,58.745,57.24
11/04/2021,57.17,9047906,59,59.015,56.795
11/03/2021,59.05,6234335,58.49,59.585,58.09
11/02/2021,58.47,5929491,57.64,58.74,57.24
11/01/2021,57.44,7561994,56.01,57.98,56.01
10/29/2021,55.97,5894889,56.13,56.65,55.66
10/28/2021,56.57,5974358,56.25,56.86,56.21
10/27/2021,56,11512730,58.58,58.58,55.9
10/26/2021,58.71,6875227,58.71,59.76,58.1801
10/25/2021,58.71,6293204,59.24,59.535,58.61
10/22/2021,58.4,5889477,59.64,60.19,58.38
10/21/2021,59.26,8916567,60.07,61.17,57.96
10/20/2021,59.89,5875321,59.16,60.6075,58.9412
10/19/2021,59.19,3650874,59.09,59.27,58.54
10/18/2021,58.95,4660432,57.7,59.39,57.6
10/15/2021,58.96,4288162,59.47,59.73,58.84
10/14/2021,58.74,6430634,57.43,58.78,57.14
10/13/2021,56.91,7691227,57.92,58.05,56.65
10/12/2021,57.74,5443834,58.02,58.37,57.5
10/11/2021,58.23,4139030,59.25,59.78,58.21
10/08/2021,58.71,4260182,58.81,59.29,58.4
10/07/2021,58.51,7235870,57.89,59.47,57.79
10/06/2021,57.16,8699078,58.36,58.57,56.3
10/05/2021,59.1,5646408,58.26,59.445,58.1
10/04/2021,58.24,5652962,58.58,59,57.68
10/01/2021,58.58,6925256,57.67,59.01,57.25
09/30/2021,57.56,4929915,58.92,59.17,57.55
09/29/2021,58.82,4578945,59.46,59.6,58.77
09/28/2021,59.46,6681760,60.15,60.645,59.14
09/27/2021,59.69,12373980,56.88,60.38,56.88
09/24/2021,56.81,7964986,57.2,57.34,56.74
09/23/2021,57.43,7814123,56.77,58.045,56.6
09/22/2021,56.3,6823824,56.26,56.98,56.255
09/21/2021,55.53,6156370,56.59,56.86,55.21
09/20/2021,56.18,7683867,56.26,57.1304,55.31
09/17/2021,57.75,9625499,58.8,59.17,57.47
09/16/2021,59.47,4650841,60.14,60.32,59.07
09/15/2021,60.2,5167759,59.75,60.67,59.67
09/14/2021,59.65,4493572,61.24,61.3,59.5224
09/13/2021,60.72,4549217,61.27,61.59,60.215
09/10/2021,60.41,4093257,60.85,61.44,60.34
09/09/2021,60.28,4439095,60.25,61.19,60.07
09/08/2021,60.69,4628973,61.83,62.11,60.51
09/07/2021,61.87,2514731,61.98,62.3,61.64
09/03/2021,62.12,3690597,62.45,62.825,61.67
09/02/2021,62.62,3414738,62.76,63.36,62.42
09/01/2021,62.54,3949213,62.83,63,61.81
08/31/2021,62.9,5449999,63.7,63.88,62.69
08/30/2021,63.98,3925138,65,65.3275,63.95
08/27/2021,65.38,5348664,64.19,65.855,64.12
08/26/2021,63.65,3618463,63.84,64.56,63.47
08/25/2021,63.87,3246877,63.3,64.18,62.82
08/24/2021,63.26,2896124,62.46,63.53,62.46
08/23/2021,62.06,3440001,61.5,62.42,61.46
08/20/2021,60.89,3203679,60.41,61.11,60.32
08/19/2021,60.55,3981572,61.04,61.39,60.15
08/18/2021,61.88,4573993,61.91,62.83,61.71
08/17/2021,62.31,3974459,62.69,62.875,61.14
08/16/2021,63.32,3163519,63.2,63.595,62.14
08/13/2021,63.69,2385569,63.97,64.1,63.35
08/12/2021,64.01,3581677,64.36,64.62,63.3032
08/11/2021,64.24,3583605,63.42,64.3,63.22
08/10/2021,63.12,3559953,62.02,63.57,61.94
08/09/2021,61.82,3178247,61.72,62.225,61.36
08/06/2021,62,3142752,61.61,62.37,61.55
08/05/2021,61,3037315,61.29,61.8,60.9
08/04/2021,60.99,3340099,61.74,62.2,60.98
08/03/2021,62.23,4819652,61.15,62.27,60.155
08/02/2021,61.22,3714490,62.3,63.59,61.19
07/30/2021,62.16,4646993,62.49,63.225,61.665
07/29/2021,62.6,3708591,62.44,62.93,62.01
07/28/2021,61.87,4113699,61.83,62.3,61.06
07/27/2021,61.95,3568528,61.51,62.42,60.86
07/26/2021,62.01,6534277,60.2,62.04,60.2
07/23/2021,60.11,4690527,60.84,61.28,59.8
07/22/2021,60.48,7111276,58.56,60.89,58
07/21/2021,59.73,7428270,59.52,60.05,59.055
07/20/2021,58.62,6771667,58.14,59.19,57.6281
07/19/2021,57.79,7815369,58.14,58.48,57.055
07/16/2021,60.01,6961324,61.3,61.72,59.8
07/15/2021,61.91,2745836,61.8,62.72,61.69
07/14/2021,62.32,2571796,62.94,63.645,62.17
07/13/2021,62.7,3074497,63.42,63.69,62.32
07/12/2021,63.22,3100367,62.56,63.6,61.975
07/09/2021,63.08,5063232,62.23,63.67,62.1
07/08/2021,61.41,4251323,61,62.02,60.65
07/07/2021,62.25,3424426,61.7,62.49,61.0937
07/06/2021,61.93,3727013,63.4,63.45,61.405
07/02/2021,63.51,3173209,63.33,63.77,62.8
07/01/2021,63.5,3324926,64.22,64.42,63.42
06/30/2021,63.28,3356526,62.85,63.62,62.75
06/29/2021,62.98,2653142,63.28,63.81,62.58
06/28/2021,62.9,2727034,63.3,63.3,62.17
06/25/2021,63.29,4259730,63.25,63.8698,63.11
06/24/2021,63.11,4253923,63.78,63.83,62.76
06/23/2021,63.15,3254512,64,64.27,63.1
06/22/2021,63.5,4019107,63.46,63.82,62.68
06/21/2021,63.11,5260165,63.14,63.9485,62.79
06/18/2021,61.98,8745303,62.55,63.05,61.88
06/17/2021,63.54,5696094,65.77,65.8,62.33
06/16/2021,65.59,5428753,67.01,67.12,65.2
06/15/2021,67.22,3255199,66.91,67.425,66.44
06/14/2021,66.96,3712815,67.83,68.18,66.63
06/11/2021,68,2726116,68.47,69.02,67.84
06/10/2021,67.99,4022011,69.99,70.17,67.95
06/09/2021,68.84,3379374,69.25,69.51,68.47
06/08/2021,69.38,3469512,69.02,69.72,68.31
06/07/2021,69.24,2804113,70.37,70.47,68.89
06/04/2021,70.37,3041943,71,71.1403,69.88
06/03/2021,70.61,4322464,69.35,70.7,68.441
06/02/2021,68.95,4797772,70.32,70.32,68.86
06/01/2021,70.41,4139082,69.17,70.53,68.85
05/28/2021,68.42,3815179,69.08,69.17,67.71
05/27/2021,68.66,6256635,69.32,69.96,68.24
05/26/2021,69.57,6059237,68.83,69.64,68.21
05/25/2021,69.04,4419444,69.46,70.45,68.96
05/24/2021,69.55,3420090,69.59,70.01,69.095
05/21/2021,68.83,3855720,68.68,69.6,68.55
05/20/2021,68.26,3126454,68.46,68.72,67.86
05/19/2021,68.55,4398488,68.5,68.91,67.27
05/18/2021,69.53,3523761,71,71.38,69.51
05/17/2021,70.91,3606679,69.58,71.08,69.47
05/14/2021,69.83,4817174,68.5,70.04,68.37
05/13/2021,68.08,3068440,67.46,68.6,67.32
05/12/2021,67.6,4886215,68.75,69.1,67.4
05/11/2021,68.57,5693429,67.84,68.9,67.2
05/10/2021,68.73,5038957,69.75,70.6,68.66
05/07/2021,69.04,5174923,68.35,69.32,67.78
05/06/2021,69.04,4670553,68.02,69.09,67.17
05/05/2021,68.07,4853957,66.49,68.235,66.14
05/04/2021,66.22,7367207,64.25,66.27,63.8
05/03/2021,64.55,6328101,63.18,65.035,63.12
04/30/2021,62.5,4932315,63.45,63.71,62.3
04/29/2021,64.06,4366020,63.82,64.69,63.435
04/28/2021,63.31,5584337,63.03,64.065,62.7
04/27/2021,62.65,3781310,62.27,62.85,61.7199
04/26/2021,62.2,4871606,62.36,62.82,61.93
04/23/2021,62.11,5683494,61.1,62.49,60.45
04/22/2021,60.93,12028870,64,64.05,60.72
04/21/2021,64.82,4283535,62.46,65.02,62.375
04/20/2021,62.48,4532442,64,64.05,62.28
04/19/2021,64.55,2566584,64.8,65.0399,63.94
04/16/2021,64.68,3698844,65.27,65.51,64.26
04/15/2021,64.57,2632733,64.88,64.92,63.8
04/14/2021,64.24,4234458,63.59,64.78,63.36
04/13/2021,63.31,4471855,63.59,63.68,62.45
04/12/2021,63.79,3143842,63.6,64.1499,63.3
04/09/2021,63.14,3720978,63.19,63.56,62.54
04/08/2021,63.19,3639017,63.86,64.03,62.62
04/07/2021,63.99,2374009,64.49,64.97,63.66
04/06/2021,64.6,3420312,64.24,65.39,64.13
04/05/2021,64.59,4077851,65,65.22,64.25
04/01/2021,64.6,3698904,63.95,64.72,63.48
03/31/2021,63.94,3643785,64.27,64.96,63.51
03/30/2021,64.61,2605114,63.72,64.79,63.48
03/29/2021,63.9,3193807,63.62,65.12,63.5
03/26/2021,63.99,4256347,63.39,64.14,63.09
03/25/2021,63.24,3921150,61.47,63.31,61.25
03/24/2021,62.04,4322624,61.6,63.42,61.4027
03/23/2021,60.75,5523475,62.67,62.6882,60.4
03/22/2021,63.51,4631116,63.8,63.8,62.4
03/19/2021,63.91,6445771,64.72,64.8,62.66
03/18/2021,64.72,4206432,66.06,67.27,64.63
03/17/2021,66.01,5138887,63.48,66.25,63.18
03/16/2021,63.18,6461643,62.69,63.83,61.86
03/15/2021,62.9,5361393,64.07,64.29,62.45
03/12/2021,64.34,2690951,64.68,65.05,63.88
03/11/2021,64.32,3651810,64.33,65.27,64.22
03/10/2021,64.09,4238456,62.62,64.46,62.37
03/09/2021,62.26,5823245,63.67,63.71,61.91
03/08/2021,63.44,4437617,63.17,64.2701,62.51
03/05/2021,62.91,3883764,62.12,63.04,60.75
03/04/2021,61.2,6050394,62.06,62.62,60.09
03/03/2021,62.25,5390315,62.5,63.39,62.01
03/02/2021,62.73,7316038,62.21,64.04,61.8
03/01/2021,61.54,4084252,61.15,62.27,60.57
02/26/2021,59.31,6399697,60.85,61.05,58.8
02/25/2021,61.35,3260272,62.48,62.837,61.125
02/24/2021,63.69,4668567,62,63.98,61.943
02/23/2021,62.12,4147279,62.94,62.97,61.51
02/22/2021,62.48,5672558,60.62,62.56,60.2
02/19/2021,60.39,4037102,57.75,60.53,57.75
02/18/2021,57.56,3112563,58.3,58.665,57.1
02/17/2021,58.54,3277821,58.58,58.91,57.61
02/16/2021,58.75,4072724,58.9,59.355,58.54
02/12/2021,58.15,1975051,57.56,58.27,57.445
02/11/2021,57.67,2326578,57.81,57.94,56.69
02/10/2021,57.67,3452996,57,58.38,56.48
02/09/2021,56.6,4209540,57.5,57.5153,56.37
02/08/2021,57.35,2543282,57.75,58.26,57.21
02/05/2021,57.24,3732511,56.74,57.83,56.44
02/04/2021,56.34,4312347,55.47,56.37,54.82
02/03/2021,55.35,3984229,54.31,55.395,54.039
02/02/2021,54.61,5229473,53.56,54.87,52.87
02/01/2021,52.75,4128319,52.39,52.84,51.33
01/29/2021,51.9,8895444,53.85,54.705,51.76
01/28/2021,54.38,5817027,54.14,54.85,53
01/27/2021,54.39,6283536,54.64,55.08,52.66
01/26/2021,55.74,3060282,57.89,58.25,55.7
01/25/2021,57.23,3682556,56.86,57.42,55.66
01/22/2021,57.5,2621785,56.99,57.785,56.87
01/21/2021,57.56,3442039,58.51,58.77,57.31
01/20/2021,58.57,3724400,57.87,58.63,57.23
01/19/2021,57.55,4919337,57.76,58.2,56.33
01/15/2021,57.31,6692942,58.62,58.82,57.13
01/14/2021,59.65,3578778,60.21,60.5,59.42
01/13/2021,60.03,3236261,60.75,61.31,59.66
01/12/2021,61.04,6235742,59.32,61.21,59
01/11/2021,58.86,3455867,57.7,58.95,57.25
01/08/2021,58.21,4063547,58.37,58.86,57.75
01/07/2021,58.51,4437561,59,59.77,58.105
01/06/2021,58.43,6208448,56.95,59.21,56.55
01/05/2021,55.8,3112791,54.14,56.17,54
01/04/2021,54.04,4853062,55.82,56.1214,53.65
12/31/2020,55.5,2663490,55.47,56.1,55.11
12/30/2020,55.47,3790040,54.35,55.66,54.3
12/29/2020,54.33,2221992,54.5,54.82,53.85
12/28/2020,54.29,3668192,55.27,55.77,54.18
12/24/2020,54.79,1074880,54.92,54.9681,54.335
